"Report generated on: 02-11-2025 23:37:09"
"Series Key",INTL.44-2-ISR-QBTU.A,"Series Key",INTL.4411-2-ISR-QBTU.A,"Series Key",INTL.4413-2-ISR-QBTU.A,"Series Key",INTL.4415-2-ISR-QBTU.A,"Series Key",INTL.4419-2-ISR-QBTU.A,"Series Key",INTL.4417-2-ISR-QBTU.A,"Series Key",INTL.4418-2-ISR-QBTU.A
"Series Name","Total energy consumption, Israel, Annual","Series Name","Total energy consumption from coal, Israel, Annual","Series Name","Total energy consumption from natural gas, Israel, Annual","Series Name","Total energy consumption from petroleum and other liquids, Israel, Annual","Series Name","Total energy consumption from nuclear, renewables, and other, Israel, Annual","Series Name","Total energy consumption from nuclear, Israel, Annual","Series Name","Total energy consumption from renewables and other, Israel, Annual"
Units,QBTU,Units,QBTU,Units,QBTU,Units,QBTU,Units,QBTU,Units,QBTU,Units,QBTU
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A




1980,0.355,1980,0,1980,0.005,1980,0.351,1980,-0.001,1980,0,1980,-0.001
1981,0.361,1981,0,1981,0.005,1981,0.356,1981,-0.001,1981,0,1981,-0.001
1982,0.376,1982,0.022,1982,0.003,1982,0.352,1982,-0.001,1982,0,1982,-0.001
1983,0.369,1983,0.042,1983,0.002,1983,0.326,1983,-0.001,1983,0,1983,-0.001
1984,0.337,1984,0.067,1984,0.002,1984,0.269,1984,-0.001,1984,0,1984,-0.001
1985,0.356,1985,0.073,1985,0.002,1985,0.282,1985,-0.001,1985,0,1985,-0.001
1986,0.385,1986,0.08,1986,0.001,1986,0.304,1986,-0.001,1986,0,1986,-0.001
1987,0.423,1987,0.085,1987,0.002,1987,0.336,1987,-0.001,1987,0,1987,-0.001
1988,0.445,1988,0.084,1988,0.001,1988,0.36,1988,-0.001,1988,0,1988,-0.001
1989,0.459,1989,0.09,1989,0.001,1989,0.369,1989,-0.001,1989,0,1989,-0.001
1990,0.473,1990,0.093,1990,0.001,1990,0.381,1990,-0.001,1990,0,1990,-0.001
1991,0.484,1991,0.101,1991,0.001,1991,0.383,1991,-0.001,1991,0,1991,-0.001
1992,0.507,1992,0.123,1992,0.001,1992,0.384,1992,-0.001,1992,0,1992,-0.001
1993,0.564,1993,0.141,1993,0.001,1993,0.423,1993,-0.001,1993,0,1993,-0.001
1994,0.599,1994,0.15,1994,0.001,1994,0.45,1994,-0.001,1994,0,1994,-0.001
1995,0.644,1995,0.164,1995,0.001,1995,0.482,1995,-0.003,1995,0,1995,-0.003
1996,0.66,1996,0.195,1996,0.001,1996,0.467,1996,-0.003,1996,0,1996,-0.003
1997,0.694,1997,0.215,1997,0.001,1997,0.483,1997,-0.004,1997,0,1997,-0.004
1998,0.704,1998,0.231,1998,0.001,1998,0.475,1998,-0.004,1998,0,1998,-0.004
1999,0.715,1999,0.227,1999,(s),1999,0.491,1999,-0.004,1999,0,1999,-0.004
2000,0.779,2000,0.255,2000,(s),2000,0.528,2000,-0.005,2000,0,2000,-0.005
2001,0.771,2001,0.287,2001,(s),2001,0.488,2001,-0.005,2001,0,2001,-0.005
2002,0.818,2002,0.304,2002,(s),2002,0.518,2002,-0.005,2002,0,2002,-0.005
2003,0.842,2003,0.315,2003,0.001,2003,0.531,2003,-0.005,2003,0,2003,-0.005
2004,0.852,2004,0.317,2004,0.024,2004,0.517,2004,-0.005,2004,0,2004,-0.005
2005,0.817,2005,0.316,2005,0.024,2005,0.483,2005,-0.006,2005,0,2005,-0.006
2006,0.845,2006,0.315,2006,0.035,2006,0.502,2006,-0.006,2006,0,2006,-0.006
2007,0.882,2007,0.332,2007,0.041,2007,0.515,2007,-0.007,2007,0,2007,-0.007
2008,0.862,2008,0.315,2008,0.052,2008,0.507,2008,-0.012,2008,0,2008,-0.012
2009,0.873,2009,0.306,2009,0.104,2009,0.475,2009,-0.012,2009,0,2009,-0.012
2010,0.939,2010,0.306,2010,0.132,2010,0.514,2010,-0.013,2010,0,2010,-0.013
2011,0.927,2011,0.314,2011,0.12,2011,0.506,2011,-0.013,2011,0,2011,-0.013
2012,0.998,2012,0.353,2012,0.053,2012,0.605,2012,-0.013,2012,0,2012,-0.013
2013,0.917,2013,0.292,2013,0.185,2013,0.454,2013,-0.014,2013,0,2013,-0.014
2014,0.967,2014,0.274,2014,0.29,2014,0.416,2014,-0.013,2014,0,2014,-0.013
2015,1.006,2015,0.268,2015,0.312,2015,0.44,2015,-0.013,2015,0,2015,-0.013
2016,1.024,2016,0.229,2016,0.36,2016,0.447,2016,-0.012,2016,0,2016,-0.012
2017,1.06,2017,0.207,2017,0.385,2017,0.481,2017,-0.014,2017,0,2017,-0.014
2018,1.04,2018,0.195,2018,0.389,2018,0.469,2018,-0.013,2018,0,2018,-0.013
2019,1.005,2019,0.146,2019,0.4,2019,0.47,2019,-0.011,2019,0,2019,-0.011
2020,0.947,2020,0.126,2020,0.411,2020,0.417,2020,-0.007,2020,0,2020,-0.007
2021,0.989,2021,0.146,2021,0.426,2021,0.422,2021,-0.005,2021,0,2021,-0.005
2022,1.055,2022,0.151,2022,0.438,2022,0.469,2022,-0.003,2022,0,2022,-0.003
2023,1.041,2023,0.124,2023,0.454,2023,0.46,2023,0.004,2023,0,2023,0.004
